Name,Value1,Value2,Value3,Value4,Group
ATR,5.1,3.5,1.4,0.2,p53 pathway
CHEK1,4.9,3,1.4,0.2,p53 pathway
GORAB,4.7,3.2,1.3,0.2,p53 pathway
CDKN2A,4.6,3.1,1.5,0.2,p53 pathway
MDM2,5,3.6,1.4,0.2,p53 pathway
MDM4,5.4,3.9,1.7,0.4,p53 pathway
TP53,4.6,3.4,1.4,0.3,p53 pathway
CDKN1A,5,3.4,1.5,0.2,p53 pathway
CCND1,4.4,2.9,1.4,0.2,p53 pathway
CCND2,4.9,3.1,1.5,0.1,p53 pathway
CCND3,5.4,3.7,1.5,0.2,p53 pathway
CDK4,4.8,3.4,1.6,0.2,p53 pathway
CDK6,4.8,3,1.4,0.1,p53 pathway
CCNE1,4.3,3,1.1,0.1,p53 pathway
CCNE2,5.8,4,1.2,0.2,p53 pathway
CDK2,5.7,4.4,1.5,0.4,p53 pathway
SFN,5.4,3.9,1.3,0.4,p53 pathway
RPRM,5.1,3.5,1.4,0.3,p53 pathway
CCNB1,5.7,3.8,1.7,0.3,p53 pathway
CCNB2,5.1,3.8,1.5,0.3,p53 pathway
CDK1,5.4,3.4,1.7,0.2,p53 pathway
GADD45A,5.1,3.7,1.5,0.4,p53 pathway
GADD45B,4.6,3.6,1,0.2,p53 pathway
GADD45G,5.1,3.3,1.7,0.5,p53 pathway
GTSE1,4.8,3.4,1.9,0.2,p53 pathway
FAS,5,3,1.6,0.2,p53 pathway
PIDD1,5,3.4,1.6,0.4,p53 pathway
TNFRSF10A,5.2,3.5,1.5,0.2,p53 pathway
TNFRSF10B,5.2,3.4,1.4,0.2,p53 pathway
CASP8,4.7,3.2,1.6,0.2,p53 pathway
BID,4.8,3.1,1.6,0.2,p53 pathway
BAX,5.4,3.4,1.5,0.4,p53 pathway
PMAIP1,5.2,4.1,1.5,0.1,p53 pathway
BBC3,5.5,4.2,1.4,0.2,p53 pathway
TP53AIP1,4.9,3.1,1.5,0.2,p53 pathway
SIVA1,5,3.2,1.2,0.2,p53 pathway
BCL2L1,5.5,3.5,1.3,0.2,p53 pathway
BCL2,4.9,3.6,1.4,0.1,p53 pathway
TP53I3,4.4,3,1.3,0.2,p53 pathway
EI24,5.1,3.4,1.5,0.2,p53 pathway
SHISA5,5,3.5,1.3,0.3,p53 pathway
PERP,4.5,2.3,1.3,0.3,p53 pathway
ZMAT3,4.4,3.2,1.3,0.2,p53 pathway
SIAH1,5,3.5,1.6,0.6,p53 pathway
CYCS,5.1,3.8,1.9,0.4,p53 pathway
APAF1,4.8,3,1.4,0.3,p53 pathway
CASP9,5.1,3.8,1.6,0.2,p53 pathway
CASP3,4.6,3.2,1.4,0.2,p53 pathway
AIFM2,5.3,3.7,1.5,0.2,p53 pathway
IGFBP3,5,3.3,1.4,0.2,p53 pathway
PORCN,7,3.2,4.7,1.4,wnt pathway
WNT1,6.4,3.2,4.5,1.5,wnt pathway
WNT2,6.9,3.1,4.9,1.5,wnt pathway
WNT2B,5.5,2.3,4,1.3,wnt pathway
WNT3,6.5,2.8,4.6,1.5,wnt pathway
WNT3A,5.7,2.8,4.5,1.3,wnt pathway
WNT4,6.3,3.3,4.7,1.6,wnt pathway
WNT5A,4.9,2.4,3.3,1,wnt pathway
WNT5B,6.6,2.9,4.6,1.3,wnt pathway
WNT6,5.2,2.7,3.9,1.4,wnt pathway
WNT7A,5,2,3.5,1,wnt pathway
WNT7B,5.9,3,4.2,1.5,wnt pathway
WNT8A,6,2.2,4,1,wnt pathway
WNT8B,6.1,2.9,4.7,1.4,wnt pathway
WNT9A,5.6,2.9,3.6,1.3,wnt pathway
WNT9B,6.7,3.1,4.4,1.4,wnt pathway
WNT10B,5.6,3,4.5,1.5,wnt pathway
WNT10A,5.8,2.7,4.1,1,wnt pathway
WNT11,6.2,2.2,4.5,1.5,wnt pathway
WNT16,5.6,2.5,3.9,1.1,wnt pathway
CER1,5.9,3.2,4.8,1.8,wnt pathway
NOTUM,6.1,2.8,4,1.3,wnt pathway
WIF1,6.3,2.5,4.9,1.5,wnt pathway
SERPINF1,6.1,2.8,4.7,1.2,wnt pathway
SOST,6.4,2.9,4.3,1.3,wnt pathway
DKK1,6.6,3,4.4,1.4,wnt pathway
DKK2,6.8,2.8,4.8,1.4,wnt pathway
DKK4,6.7,3,5,1.7,wnt pathway
SFRP1,6,2.9,4.5,1.5,wnt pathway
SFRP2,5.7,2.6,3.5,1,wnt pathway
SFRP4,5.5,2.4,3.8,1.1,wnt pathway
SFRP5,5.5,2.4,3.7,1,wnt pathway
RSPO1,5.8,2.7,3.9,1.2,wnt pathway
RSPO2,6,2.7,5.1,1.6,wnt pathway
RSPO3,5.4,3,4.5,1.5,wnt pathway
RSPO4,6,3.4,4.5,1.6,wnt pathway
LGR4,6.7,3.1,4.7,1.5,wnt pathway
LGR5,6.3,2.3,4.4,1.3,wnt pathway
LGR6,5.6,3,4.1,1.3,wnt pathway
RNF43,5.5,2.5,4,1.3,wnt pathway
ZNRF3,5.5,2.6,4.4,1.2,wnt pathway
FZD1,6.1,3,4.6,1.4,wnt pathway
FZD7,5.8,2.6,4,1.2,wnt pathway
FZD2,5,2.3,3.3,1,wnt pathway
FZD3,5.6,2.7,4.2,1.3,wnt pathway
FZD4,5.7,3,4.2,1.2,wnt pathway
FZD5,5.7,2.9,4.2,1.3,wnt pathway
FZD8,6.2,2.9,4.3,1.3,wnt pathway
FZD6,5.1,2.5,3,1.1,wnt pathway
FDZ10,5.7,2.8,4.1,1.3,wnt pathway
EGF,6.3,3.3,6,2.5,PI3K pathway
TGFA,5.8,2.7,5.1,1.9,PI3K pathway
EREG,7.1,3,5.9,2.1,PI3K pathway
AREG,6.3,2.9,5.6,1.8,PI3K pathway
FGF1,6.5,3,5.8,2.2,PI3K pathway
FGF2,7.6,3,6.6,2.1,PI3K pathway
FGF3,4.9,2.5,4.5,1.7,PI3K pathway
FGF4,7.3,2.9,6.3,1.8,PI3K pathway
FGF17,6.7,2.5,5.8,1.8,PI3K pathway
FGF6,7.2,3.6,6.1,2.5,PI3K pathway
FGF7,6.5,3.2,5.1,2,PI3K pathway
FGF8,6.4,2.7,5.3,1.9,PI3K pathway
FGF9,6.8,3,5.5,2.1,PI3K pathway
FGF10,5.7,2.5,5,2,PI3K pathway
FGF16,5.8,2.8,5.1,2.4,PI3K pathway
FGF5,6.4,3.2,5.3,2.3,PI3K pathway
FGF18,6.5,3,5.5,1.8,PI3K pathway
FGF20,7.7,3.8,6.7,2.2,PI3K pathway
FGF22,7.7,2.6,6.9,2.3,PI3K pathway
FGF19,6,2.2,5,1.5,PI3K pathway
FGF21,6.9,3.2,5.7,2.3,PI3K pathway
FGF23,5.6,2.8,4.9,2,PI3K pathway
NGF,7.7,2.8,6.7,2,PI3K pathway
BDNF,6.3,2.7,4.9,1.8,PI3K pathway
NTF3,6.7,3.3,5.7,2.1,PI3K pathway
NTF4,7.2,3.2,6,1.8,PI3K pathway
INS,6.2,2.8,4.8,1.8,PI3K pathway
IGF1,6.1,3,4.9,1.8,PI3K pathway
IGF2,6.4,2.8,5.6,2.1,PI3K pathway
PDGFA,7.2,3,5.8,1.6,PI3K pathway
PDGFB,7.4,2.8,6.1,1.9,PI3K pathway
PDGFC,7.9,3.8,6.4,2,PI3K pathway
PDGFD,6.4,2.8,5.6,2.2,PI3K pathway
CSF1,6.3,2.8,5.1,1.5,PI3K pathway
KITLG,6.1,2.6,5.6,1.4,PI3K pathway
FLT3LG,7.7,3,6.1,2.3,PI3K pathway
VEGFA,6.3,3.4,5.6,2.4,PI3K pathway
VEGFB,6.4,3.1,5.5,1.8,PI3K pathway
PGF,6,3,4.8,1.8,PI3K pathway
VEGFC,6.9,3.1,5.4,2.1,PI3K pathway
VEGFD,6.7,3.1,5.6,2.4,PI3K pathway
HGF,6.9,3.1,5.1,2.3,PI3K pathway
ANGPT1,5.8,2.7,5.1,1.9,PI3K pathway
ANGPT2,6.8,3.2,5.9,2.3,PI3K pathway
ANGPT4,6.7,3.3,5.7,2.5,PI3K pathway
EFNA1,6.7,3,5.2,2.3,PI3K pathway
EFNA2,6.3,2.5,5,1.9,PI3K pathway
EFNA3,6.5,3,5.2,2,PI3K pathway
EFNA4,6.2,3.4,5.4,2.3,PI3K pathway
EFNA5,5.9,3,5.1,1.8,PI3K pathway
